시도,시군구,읍면동,상세주소,특수지명,블록,로트,건물명,동명,통계용도,대지면적(㎡),건축면적(㎡),연면적(㎡),지하층수(층),지상층수(층),허가일자,착공일자,사용승인일자,동용도
부산광역시,기장군,일광면 동백리,285-5,,,,,,주거용 > 단독주택 > 단독주택,0,36.96,36.96,0,1,,,1970-11-20,단독주택
부산광역시,기장군,기장읍 동부리,325-4,,,,,,주거용 > 단독주택 > 단독주택,0,0,52.49,0,1,,,1961,단독주택
부산광역시,기장군,일광면 동백리,285-8,,,,,,주거용 > 단독주택 > 단독주택,169,78.97,78.97,0,1,1993-04-26,1993-05-04,1993-09-22,단독주택
부산광역시,기장군,일광면 동백리,285-9,,,,,,주거용 > 단독주택 > 단독주택,0,82.68,82.68,0,1,,,1970-11-20,단독주택
부산광역시,기장군,일광면 동백리,285-10,,,,,,주거용 > 단독주택 > 단독주택,197,90.28,137.91,0,2,2001-09-25,,2001-11-06,단독주택
부산광역시,기장군,일광면 동백리,285-12,,,,,,주거용 > 단독주택 > 단독주택,228,98,131.62,0,2,1991-05-27,1991-04-24,1991-09-16,단독주택
부산광역시,기장군,일광면 동백리,285-13,,,,,,주거용 > 단독주택 > 단독주택,0,45.79,45.79,0,1,,,1970-11-20,단독주택
부산광역시,기장군,기장읍 동부리,326,,,,,,주거용 > 단독주택 > 단독주택,0,33.06,33.06,0,1,,,1968,단독주택
부산광역시,기장군,일광면 동백리,285-19,,,,,,주거용 > 단독주택 > 단독주택,0,100.04,100.04,0,1,,,1970-11-20,단독주택
부산광역시,기장군,일광면 원리,516,,,,A동,,주거용 > 단독주택 > 단독주택,0,51.75,51.75,0,1,2002-07-02,2002-07-09,2002-09-18,단독주택
부산광역시,기장군,일광면 원리,516,,,,B동,,주거용 > 단독주택 > 단독주택,0,27.31,27.31,0,1,,,1957-10-20,단독주택
부산광역시,기장군,일광면 원리,516-1,,,,,,주거용 > 단독주택 > 단독주택,0,28.86,28.86,0,1,,,1957-10-20,단독주택
부산광역시,기장군,일광면 원리,518,,,,,,주거용 > 단독주택 > 단독주택,341.86,61.24,61.24,0,1,2001-09-15,2001-09-18,2002-01-21,단독주택
부산광역시,기장군,일광면 원리,521,,,,,,주거용 > 단독주택 > 단독주택,380,145.54,145.54,0,1,1995-11-02,199511,1996-03-07,단독주택
부산광역시,기장군,일광면 원리,522,,,,,,주거용 > 단독주택 > 단독주택,0,33.85,33.85,0,1,,,1952-10-20,단독주택
부산광역시,기장군,일광면 원리,528,,,,,,주거용 > 단독주택 > 단독주택,0,77.67,77.67,0,1,1977-05-16,,1977-08-12,단독주택
부산광역시,기장군,일광면 원리,530,,,,,,주거용 > 단독주택 > 단독주택,0,152.96,152.96,0,1,,,1958,단독주택
부산광역시,기장군,일광면 원리,555-2,,,,,,주거용 > 단독주택 > 단독주택,453,108.6,167.45,0,2,2000-06-01,2000-07-20,2001-01-03,단독주택
부산광역시,기장군,일광면 원리,556-1,,,,,,주거용 > 단독주택 > 단독주택,0,62.91,62.91,0,1,,,1941-04-01,단독주택
부산광역시,기장군,일광면 원리,556-2,,,,,,주거용 > 단독주택 > 단독주택,432,125.37,125.37,0,1,,,1941-04-01,단독주택
부산광역시,기장군,일광면 원리,556-3,,,,,,주거용 > 단독주택 > 단독주택,0,28.99,28.99,0,1,,,1936-04-01,단독주택
부산광역시,기장군,일광면 원리,578,,,,,,주거용 > 단독주택 > 단독주택,205,103.59,99.84,0,1,2001-03-27,2002-02-04,2002-03-28,단독주택
부산광역시,기장군,일광면 원리,585,,,,,,주거용 > 단독주택 > 단독주택,0,144.66,173.91,0,2,1991-12-11,,1992-01-20,단독주택
부산광역시,기장군,일광면 원리,590,,,,,,주거용 > 단독주택 > 단독주택,690,136.82,126.06,0,1,,,1936-04-01,단독주택
부산광역시,기장군,일광면 원리,592,,,,,,주거용 > 단독주택 > 단독주택,407,161.77,161.77,0,1,,,1936-04-05,단독주택
부산광역시,기장군,일광면 원리,593,,,,,,주거용 > 단독주택 > 단독주택,0,43.07,43.07,0,1,,,1941-04-01,단독주택
부산광역시,기장군,일광면 원리,629-2,,,,,,주거용 > 단독주택 > 단독주택,0,100.34,165.68,0,2,1992-09-25,,1992-12-16,단독주택
부산광역시,기장군,일광면 원리,634-3,,,,,,주거용 > 단독주택 > 단독주택,0,24.46,24.46,0,1,,,1954-05-10,단독주택
부산광역시,기장군,일광면 원리,656,,,,,,주거용 > 단독주택 > 단독주택,0,310.8,310.8,0,1,,,1937,단독주택
부산광역시,기장군,일광면 원리,659,,,,,,주거용 > 단독주택 > 단독주택,0,208.5,208.5,0,1,,,1937,단독주택
부산광역시,기장군,일광면 원리,660,,,,,,주거용 > 단독주택 > 단독주택,0,252.3,252.3,0,1,,,1937,단독주택
부산광역시,기장군,일광면 원리,669,,,,,,주거용 > 단독주택 > 단독주택,0,103.6,103.6,0,1,,,1937,단독주택
부산광역시,기장군,일광면 원리,670,,,,,,주거용 > 단독주택 > 단독주택,0,90.2,90.2,0,1,,,1937,단독주택
부산광역시,기장군,일광면 원리,671,,,,,,주거용 > 단독주택 > 단독주택,0,103.6,103.6,0,1,,,1937,단독주택
부산광역시,기장군,일광면 원리,734-3,,,,,,주거용 > 단독주택 > 단독주택,721,270.31,270.31,0,1,,,1941-04-01,단독주택
부산광역시,기장군,일광면 원리,산 4,,,,,,주거용 > 단독주택 > 단독주택,0,32.36,32.36,0,1,,,1969-03-01,단독주택
부산광역시,기장군,일광면 원리,산 4,,,,,,주거용 > 단독주택 > 단독주택,0,84.66,84.66,0,1,,,1978-11-09,단독주택
부산광역시,기장군,일광면 원리,산 12,,,,,,주거용 > 단독주택 > 단독주택,0,34.48,34.48,0,1,,,1960,단독주택
